country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","06-04-2025 22:00:00",23.020509,72.579261,PM10,8,161,78
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","06-04-2025 22:00:00",23.020509,72.579261,CO,1,125,61
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","06-04-2025 22:00:00",23.020509,72.579261,OZONE,3,53,30
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM","06-04-2025 22:00:00",23.041137,72.456691,PM10,35,139,74
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","06-04-2025 22:00:00",28.699793,77.165453,CO,45,124,84
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","06-04-2025 22:00:00",23.107969,72.574648,PM2.5,30,328,104
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","06-04-2025 22:00:00",23.107969,72.574648,PM10,36,236,100
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","06-04-2025 22:00:00",23.076793,72.627874,SO2,1,12,4
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM","06-04-2025 22:00:00",23.041137,72.456691,OZONE,3,37,33
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","06-04-2025 22:00:00",22.977134,72.553024,OZONE,1,34,18
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","06-04-2025 22:00:00",22.977134,72.553024,NO2,7,89,38
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","06-04-2025 22:00:00",22.969611,72.643500,NO2,33,61,43
India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IMD","06-04-2025 22:00:00",28.422681,77.148944,NO2,10,71,35
India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IMD","06-04-2025 22:00:00",28.422681,77.148944,CO,11,42,19
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM","06-04-2025 22:00:00",28.3153,76.9143,SO2,8,44,23
India,"Himachal Pradesh",Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB","06-04-2025 22:00:00",30.943887,76.801991,SO2,9,108,56
India,"Himachal Pradesh",Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB","06-04-2025 22:00:00",30.943887,76.801991,OZONE,31,136,105
India,Jammu_and_Kashmir,Srinagar,"Rajbagh, Srinagar - JKSPCB","06-04-2025 22:00:00",34.066206,74.819820,CO,12,18,15
India,Karnataka,Bagalkot,"Vidayagiri, Bagalkot - KSPCB","06-04-2025 22:00:00",16.172806,75.659694,PM2.5,33,34,34
India,Karnataka,Belgaum,"Ramteerth Nagar, Belgaum - KSPCB","06-04-2025 22:00:00",15.888653,74.541751,NO2,65,122,92
India,Karnataka,Belgaum,"Ramteerth Nagar, Belgaum - KSPCB","06-04-2025 22:00:00",15.888653,74.541751,NH3,2,3,2
India,Karnataka,Chikkamagaluru,"Kalyana Nagara, Chikkamagaluru - KSPCB","06-04-2025 22:00:00",13.328028,75.797056,CO,11,20,14
India,Karnataka,Davanagere,"Devaraj Urs Badavane, Davanagere - KSPCB","06-04-2025 22:00:00",14.475800,75.905200,PM10,33,65,46
India,Karnataka,Davanagere,"Devaraj Urs Badavane, Davanagere - KSPCB","06-04-2025 22:00:00",14.475800,75.905200,SO2,5,20,8
India,Karnataka,Dharwad,"Kalabhavan, Dharwad - KSPCB","06-04-2025 22:00:00",15.459706,75.008381,PM10,50,65,55
India,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB","06-04-2025 22:00:00",12.9756843,77.5660749,PM10,84,100,92
India,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB","06-04-2025 22:00:00",12.9756843,77.5660749,SO2,8,16,12
India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB","06-04-2025 22:00:00",12.938539,77.590100,PM10,24,44,34
India,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB","06-04-2025 22:00:00",12.920984,77.584908,PM10,23,90,52
India,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB","06-04-2025 22:00:00",12.990328,77.5431385,PM10,38,46,39
India,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB","06-04-2025 22:00:00",12.990328,77.5431385,NO2,21,29,23
India,Karnataka,Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB","06-04-2025 22:00:00",13.0246342,77.5080115,SO2,5,10,8
India,Karnataka,Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB","06-04-2025 22:00:00",13.0246342,77.5080115,CO,34,40,37
India,Karnataka,Bengaluru,"Kasturi Nagar, Bengaluru - KSPCB","06-04-2025 22:00:00",13.003872,77.664217,NH3,2,2,2
India,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB","06-04-2025 22:00:00",13.0270199,77.494094,OZONE,40,40,40
India,Karnataka,Bengaluru,"RVCE-Mailasandra, Bengaluru - KSPCB","06-04-2025 22:00:00",12.921418,77.502466,NO2,18,21,20
India,Karnataka,Chamarajanagar,"Urban, Chamarajanagar - KSPCB","06-04-2025 22:00:00",11.55358,76.55521,PM10,30,47,44
India,Karnataka,Chamarajanagar,"Urban, Chamarajanagar - KSPCB","06-04-2025 22:00:00",11.55358,76.55521,SO2,2,7,4
India,Karnataka,Chikkaballapur,"Chikkaballapur Rural, Chikkaballapur - KSPCB","06-04-2025 22:00:00",13.428828,77.731418,PM2.5,21,62,39
India,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB","06-04-2025 22:00:00",12.920984,77.584908,SO2,6,15,9
India,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB","06-04-2025 22:00:00",12.920984,77.584908,CO,2,36,18
India,Karnataka,Bengaluru,"Kasturi Nagar, Bengaluru - KSPCB","06-04-2025 22:00:00",13.003872,77.664217,PM10,82,441,126
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","06-04-2025 22:00:00",23.221714,72.654328,PM2.5,18,67,37
India,Gujarat,Nandesari,"GIDC, Nandesari - Nandesari Ind. Association","06-04-2025 22:00:00",22.410802,73.097923,SO2,2,22,12
India,Kerala,Kollam,"Polayathode, Kollam - Kerala PCB","06-04-2025 22:00:00",8.8787,76.6073,PM10,59,65,62
India,Kerala,Kollam,"Polayathode, Kollam - Kerala PCB","06-04-2025 22:00:00",8.8787,76.6073,NO2,8,10,9
India,Kerala,Kollam,"Polayathode, Kollam - Kerala PCB","06-04-2025 22:00:00",8.8787,76.6073,CO,14,17,16
India,Kerala,Thiruvananthapuram,"Kariavattom, Thiruvananthapuram - Kerala PCB","06-04-2025 22:00:00",8.563700,76.886500,PM2.5,40,45,42
India,Karnataka,Kalaburagi,"Mahatma Basaveswar Colony, Kalaburgi - KSPCB","06-04-2025 22:00:00",17.336318,76.847397,PM10,19,60,32
India,Karnataka,Koppal,"Diwator Nagar, Koppal - KSPCB","06-04-2025 22:00:00",15.347630,76.181767,NO2,11,25,16
India,Karnataka,Madikeri,"Stuart Hill, Madikeri - KSPCB","06-04-2025 22:00:00",12.415911,75.735050,PM10,6,43,18
India,Kerala,Thiruvananthapuram,"Plammoodu, Thiruvananthapuram - Kerala PCB","06-04-2025 22:00:00",8.5149093,76.9435879,OZONE,11,25,14
India,Kerala,Thrissur,"Corporation Ground, Thrissur - Kerala PCB","06-04-2025 22:00:00",10.532400,76.215900,SO2,1,1,1
India,Kerala,Thrissur,"Corporation Ground, Thrissur - Kerala PCB","06-04-2025 22:00:00",10.532400,76.215900,OZONE,27,28,28
India,Karnataka,Hubballi,"Lingaraj Nagar, Hubballi - KSPCB","06-04-2025 22:00:00",15.3714823,75.1160168,SO2,2,3,3
India,Karnataka,Kalaburagi,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB","06-04-2025 22:00:00",17.321993,76.822628,NO2,8,11,9
India,Kerala,Thiruvananthapuram,"Kariavattom, Thiruvananthapuram - Kerala PCB","06-04-2025 22:00:00",8.563700,76.886500,PM10,56,63,60
India,Kerala,Thiruvananthapuram,"Kariavattom, Thiruvananthapuram - Kerala PCB","06-04-2025 22:00:00",8.563700,76.886500,NO2,6,7,7
